,Dep_Airport,Dep_City,Dest_Airport,Dest_City,utc_departure,utc_arrival,return_utc_departure,return_utc_arrival,nights_in_dest,fare_category,price_PLN,airline_id,distance_km
0,WRO,Wrocław,AGP,Málaga,2024-03-17 05:30:00,2024-03-17 09:40:00,2024-03-27 10:20:00,2024-03-27 13:50:00,10,M,831,W6,2333.99
1,WRO,Wrocław,AGP,Málaga,2024-03-17 05:30:00,2024-03-17 09:40:00,2024-03-24 10:30:00,2024-03-24 13:50:00,7,M,984,W6,2333.99
2,WRO,Wrocław,AGP,Málaga,2024-03-17 05:30:00,2024-03-17 09:40:00,2024-03-20 10:20:00,2024-03-20 13:50:00,3,M,1028,W6,2333.99
3,WRO,Wrocław,BCN,Barcelona,2024-03-18 05:30:00,2024-03-18 08:20:00,2024-03-26 09:00:00,2024-03-26 11:45:00,8,M,701,W6,1573.49
4,WRO,Wrocław,BCN,Barcelona,2024-03-18 05:30:00,2024-03-18 08:20:00,2024-03-30 09:00:00,2024-03-30 11:45:00,12,M,744,W6,1573.49
5,WRO,Wrocław,BCN,Barcelona,2024-03-18 05:30:00,2024-03-18 08:20:00,2024-03-28 09:00:00,2024-03-28 11:45:00,10,M,854,W6,1573.49
6,WRO,Wrocław,BCN,Barcelona,2024-03-18 05:30:00,2024-03-18 08:20:00,2024-03-21 09:00:00,2024-03-21 11:45:00,3,M,1008,W6,1573.49
7,WRO,Wrocław,BCN,Barcelona,2024-03-18 05:30:00,2024-03-18 08:20:00,2024-03-23 09:00:00,2024-03-23 11:45:00,5,M,1096,W6,1573.49
8,WRO,Wrocław,BCN,Barcelona,2024-03-18 05:30:00,2024-03-18 08:20:00,2024-04-01 07:35:00,2024-04-01 10:20:00,14,M,1826,W6,1573.49
9,WRO,Wrocław,AGP,Málaga,2024-03-20 05:30:00,2024-03-20 09:20:00,2024-03-27 10:20:00,2024-03-27 13:50:00,7,M,831,W6,2333.99
10,WRO,Wrocław,AGP,Málaga,2024-03-20 05:30:00,2024-03-20 09:20:00,2024-03-24 10:30:00,2024-03-24 13:50:00,4,M,984,W6,2333.99
11,WRO,Wrocław,AGP,Málaga,2024-03-20 05:30:00,2024-03-20 09:20:00,2024-04-02 08:40:00,2024-04-02 12:20:00,13,M,1666,W6,2333.99
12,WRO,Wrocław,BCN,Barcelona,2024-03-21 05:30:00,2024-03-21 08:20:00,2024-04-03 07:30:00,2024-04-03 10:15:00,13,M,494,W6,1573.49
13,WRO,Wrocław,BCN,Barcelona,2024-03-21 05:30:00,2024-03-21 08:20:00,2024-03-26 09:00:00,2024-03-26 11:45:00,5,M,670,W6,1573.49
14,WRO,Wrocław,BCN,Barcelona,2024-03-21 05:30:00,2024-03-21 08:20:00,2024-03-30 09:00:00,2024-03-30 11:45:00,9,M,714,W6,1573.49
15,WRO,Wrocław,BCN,Barcelona,2024-03-21 05:30:00,2024-03-21 08:20:00,2024-03-28 09:00:00,2024-03-28 11:45:00,7,M,824,W6,1573.49
16,WRO,Wrocław,BCN,Barcelona,2024-03-21 05:30:00,2024-03-21 08:20:00,2024-03-23 09:00:00,2024-03-23 11:45:00,2,M,1065,W6,1573.49
17,WRO,Wrocław,BCN,Barcelona,2024-03-21 05:30:00,2024-03-21 08:20:00,2024-04-01 07:35:00,2024-04-01 10:20:00,11,M,1796,W6,1573.49
18,WRO,Wrocław,TFS,Tenerife,2024-03-21 07:10:00,2024-03-21 12:35:00,2024-03-28 17:35:00,2024-03-28 22:35:00,7,M,2060,E4,3793.62
19,WRO,Wrocław,LPA,Las Palmas,2024-03-22 13:30:00,2024-03-22 18:45:00,2024-04-05 13:10:00,2024-04-05 18:05:00,14,M,4199,E4,3732.12
20,WRO,Wrocław,BCN,Barcelona,2024-03-23 05:30:00,2024-03-23 08:20:00,2024-04-03 07:30:00,2024-04-03 10:15:00,11,M,678,W6,1573.49
21,WRO,Wrocław,BCN,Barcelona,2024-03-23 05:30:00,2024-03-23 08:20:00,2024-04-05 07:30:00,2024-04-05 10:15:00,13,M,678,W6,1573.49
22,WRO,Wrocław,BCN,Barcelona,2024-03-23 05:30:00,2024-03-23 08:20:00,2024-03-26 09:00:00,2024-03-26 11:45:00,3,M,854,W6,1573.49
23,WRO,Wrocław,BCN,Barcelona,2024-03-23 05:30:00,2024-03-23 08:20:00,2024-03-30 09:00:00,2024-03-30 11:45:00,7,M,897,W6,1573.49
24,WRO,Wrocław,BCN,Barcelona,2024-03-23 05:30:00,2024-03-23 08:20:00,2024-03-28 09:00:00,2024-03-28 11:45:00,5,M,1007,W6,1573.49
25,WRO,Wrocław,BCN,Barcelona,2024-03-23 05:30:00,2024-03-23 08:20:00,2024-04-01 07:35:00,2024-04-01 10:20:00,9,M,1979,W6,1573.49
26,WRO,Wrocław,AGP,Málaga,2024-03-24 05:30:00,2024-03-24 09:40:00,2024-04-06 07:35:00,2024-04-06 11:15:00,13,M,602,W6,2333.99
27,WRO,Wrocław,AGP,Málaga,2024-03-24 05:30:00,2024-03-24 09:40:00,2024-03-27 10:20:00,2024-03-27 13:50:00,3,M,667,W6,2333.99
28,WRO,Wrocław,AGP,Málaga,2024-03-24 05:30:00,2024-03-24 09:40:00,2024-04-02 08:40:00,2024-04-02 12:20:00,9,M,1503,W6,2333.99
29,WRO,Wrocław,BCN,Barcelona,2024-03-26 05:30:00,2024-03-26 08:20:00,2024-04-03 07:30:00,2024-04-03 10:15:00,8,M,575,W6,1573.49
30,WRO,Wrocław,BCN,Barcelona,2024-03-26 05:30:00,2024-03-26 08:20:00,2024-04-05 07:30:00,2024-04-05 10:15:00,10,M,575,W6,1573.49
31,WRO,Wrocław,BCN,Barcelona,2024-03-26 05:30:00,2024-03-26 08:20:00,2024-04-08 07:35:00,2024-04-08 10:20:00,13,M,661,W6,1573.49
32,WRO,Wrocław,BCN,Barcelona,2024-03-26 05:30:00,2024-03-26 08:20:00,2024-03-30 09:00:00,2024-03-30 11:45:00,4,M,790,W6,1573.49
33,WRO,Wrocław,BCN,Barcelona,2024-03-26 05:30:00,2024-03-26 08:20:00,2024-03-28 09:00:00,2024-03-28 11:45:00,2,M,897,W6,1573.49
34,WRO,Wrocław,BCN,Barcelona,2024-03-26 05:30:00,2024-03-26 08:20:00,2024-04-01 07:35:00,2024-04-01 10:20:00,6,M,1851,W6,1573.49
